Date,Open,High,Low,Close,Adj Close,Volume
2012-02-10,890.880005,898.559998,882.559998,889.599976,886.426575,32300
2012-02-13,869.760010,881.919983,861.440002,864.640015,861.555725,21600
2012-02-14,872.960022,880.000000,857.599976,858.239990,855.178467,29400
2012-02-15,845.440002,880.000000,832.000000,877.440002,874.309998,70400
2012-02-16,876.159973,881.919983,837.119995,839.679993,836.684692,53700
2012-02-17,838.400024,858.239990,837.760010,848.000000,844.975037,22300
2012-02-21,845.440002,856.320007,829.440002,840.320007,837.322449,34500
2012-02-22,846.080017,855.679993,838.400024,851.200012,848.163635,22100
2012-02-23,849.919983,860.799988,831.359985,835.200012,832.220642,29100
2012-02-24,827.520020,833.280029,821.760010,826.239990,823.292603,25300
2012-02-27,841.599976,850.559998,814.719971,823.679993,820.741760,32200
2012-02-28,820.479980,823.679993,798.080017,798.719971,795.870789,35300
2012-02-29,795.520020,816.000000,787.840027,808.960022,806.074341,47400
2012-03-01,798.080017,806.400024,787.200012,788.479980,785.667358,27900
2012-03-02,791.039978,798.719971,783.359985,791.039978,788.218140,26500
2012-03-05,794.239990,822.400024,789.760010,814.719971,811.813721,37400
2012-03-06,839.679993,851.840027,833.919983,839.039978,836.046936,52100
2012-03-07,828.159973,831.359985,814.080017,820.479980,817.553162,29200
2012-03-08,805.119995,810.239990,786.559998,792.960022,790.131348,33900
2012-03-09,789.760010,791.039978,779.520020,784.000000,781.203308,25900
2012-03-12,784.000000,793.599976,779.520020,782.719971,779.927856,16500
2012-03-13,769.280029,773.119995,737.919983,737.919983,735.287659,49600
2012-03-14,736.000000,743.679993,722.559998,729.599976,726.997375,39200
2012-03-15,723.840027,734.719971,719.359985,724.479980,721.895569,40900
2012-03-16,721.280029,730.239990,720.640015,725.760010,723.171082,27800
2012-03-19,722.559998,727.679993,705.280029,709.760010,707.228149,32200
2012-03-20,720.000000,726.400024,704.000000,705.919983,703.401794,37000
2012-03-21,705.280029,708.479980,694.400024,705.919983,703.401794,49600
2012-03-22,719.359985,719.359985,705.280029,710.400024,707.865906,49500
2012-03-23,707.840027,723.200012,707.200012,711.039978,708.503601,26700
2012-03-26,697.599976,698.239990,673.280029,673.280029,670.878296,43700
2012-03-27,671.359985,672.640015,662.400024,670.719971,668.327332,27400
2012-03-28,670.080017,689.919983,662.400024,678.400024,675.980042,34700
2012-03-29,689.280029,700.799988,679.039978,686.719971,684.270325,32200
2012-03-30,677.119995,698.239990,676.479980,690.559998,688.096680,20100
2012-04-02,692.479980,696.320007,666.239990,668.799988,666.414246,26100
2012-04-03,666.880005,680.320007,659.840027,669.440002,667.052002,31400
2012-04-04,685.440002,707.840027,682.880005,696.960022,694.473816,39600
2012-04-05,700.799988,702.080017,682.239990,683.520020,681.081726,31600
2012-04-09,709.760010,712.320007,691.200012,699.520020,697.024719,44400
2012-04-10,700.159973,739.200012,692.479980,732.159973,729.548218,65600
2012-04-11,712.960022,727.679993,707.200012,722.559998,719.982483,40200
2012-04-12,717.440002,720.000000,694.400024,696.960022,694.473816,38900
2012-04-13,705.280029,729.599976,704.000000,728.960022,726.359680,41900
2012-04-16,716.799988,759.679993,716.159973,751.359985,748.679749,52100
2012-04-17,742.400024,746.880005,700.799988,707.200012,704.677307,46500
2012-04-18,714.239990,718.719971,699.520020,712.320007,709.779053,38300
2012-04-19,719.359985,744.320007,694.400024,734.719971,732.099121,65400
2012-04-20,725.119995,745.599976,714.880005,743.679993,741.027161,44100
2012-04-23,763.520020,783.359985,759.679993,761.599976,758.883179,51200
2012-04-24,766.080017,784.640015,757.760010,775.039978,772.275269,38800
2012-04-25,727.679993,730.239990,712.320007,712.960022,710.416809,50600
2012-04-26,712.960022,716.159973,695.679993,700.159973,697.662354,49300
2012-04-27,692.479980,702.719971,681.599976,688.640015,686.183533,41000
2012-04-30,695.039978,704.000000,689.919983,702.080017,699.575562,24900
2012-05-01,704.640015,707.840027,675.840027,698.880005,696.386963,42400
2012-05-02,711.039978,714.239990,691.840027,693.760010,691.285217,33300
2012-05-03,691.200012,720.640015,689.919983,714.239990,711.692139,42300
2012-05-04,734.719971,768.000000,732.159973,768.000000,765.260437,66100
2012-05-07,782.080017,783.359985,755.200012,766.080017,763.347290,50400
2012-05-08,781.440002,812.159973,767.359985,775.039978,772.275269,84300
2012-05-09,801.919983,810.880005,769.280029,778.880005,776.101624,87000
2012-05-10,771.200012,795.520020,770.559998,787.200012,784.391907,9000
2012-05-11,795.039978,796.799988,761.919983,787.359985,784.551331,114700
2012-05-14,805.919983,812.479980,790.400024,809.280029,806.393127,150600
2012-05-15,800.960022,820.960022,782.400024,816.960022,814.045776,161900
2012-05-16,807.679993,838.239990,801.119995,834.239990,831.264099,106300
2012-05-17,833.919983,887.039978,828.799988,887.039978,883.875732,169700
2012-05-18,878.080017,922.880005,871.359985,918.880005,915.602173,189800
2012-05-21,916.159973,919.039978,841.280029,844.320007,841.308167,146800
2012-05-22,837.599976,864.799988,826.400024,847.520020,844.496704,125700
2012-05-23,867.840027,890.080017,835.520020,841.599976,838.597839,184700
2012-05-24,837.599976,876.799988,835.679993,857.119995,854.062500,173600
2012-05-25,856.799988,868.960022,851.039978,862.239990,859.164185,101200
2012-05-29,837.119995,852.640015,816.479980,828.799988,825.843506,99300
2012-05-30,851.359985,864.479980,840.640015,848.960022,845.931641,104500
2012-05-31,852.799988,879.520020,846.239990,860.640015,857.569946,146200
2012-06-01,905.919983,930.239990,891.200012,930.239990,926.921631,153000
2012-06-04,921.119995,945.760010,903.520020,908.320007,905.079834,165100
2012-06-05,917.280029,918.559998,891.359985,896.479980,893.282043,97900
2012-06-06,875.679993,878.719971,832.799988,834.239990,831.264099,128200
2012-06-07,808.960022,846.400024,808.159973,844.159973,841.148743,116800
2012-06-08,849.440002,856.640015,816.799988,819.200012,816.277771,93200
2012-06-11,801.440002,862.559998,800.000000,857.760010,854.700256,113100
2012-06-12,849.919983,866.239990,828.960022,830.080017,827.118958,130300
2012-06-13,837.599976,855.679993,818.080017,847.520020,844.496704,109300
2012-06-14,847.520020,860.479980,827.679993,836.799988,833.815002,136700
2012-06-15,831.039978,831.200012,802.880005,804.320007,801.450867,93400
2012-06-18,815.200012,819.840027,777.760010,784.159973,781.362732,90800
2012-06-19,771.840027,773.280029,749.280029,759.039978,756.332336,82500
2012-06-20,754.880005,773.599976,747.520020,756.479980,753.781494,101700
2012-06-21,760.000000,816.000000,756.479980,812.960022,810.060059,109600
2012-06-22,805.599976,811.520020,784.479980,787.679993,784.870178,74400
2012-06-25,806.719971,839.679993,806.239990,833.599976,830.626343,164600
2012-06-26,824.960022,836.000000,810.239990,817.280029,814.364624,83300
2012-06-27,807.359985,810.559998,791.840027,802.719971,799.856567,57400
2012-06-28,820.960022,854.080017,818.880005,827.840027,824.886963,119100
2012-06-29,781.119995,788.159973,750.719971,750.719971,748.041992,114300
2012-07-02,747.679993,760.960022,742.880005,743.200012,740.548889,76200
2012-07-03,743.359985,746.400024,725.599976,725.599976,723.011597,38600
2012-07-05,727.520020,738.719971,713.119995,724.000000,721.417358,94400
2012-07-06,733.440002,766.080017,732.000000,750.719971,748.041992,117000
2012-07-09,753.919983,765.760010,745.760010,754.719971,752.027710,75500
2012-07-10,742.080017,785.280029,736.799988,775.679993,772.913025,117200
2012-07-11,779.840027,808.640015,773.440002,789.440002,786.623901,131100
2012-07-12,808.159973,833.119995,802.239990,812.000000,809.103455,151600
2012-07-13,805.119995,806.559998,769.599976,775.520020,772.753601,86300
2012-07-16,780.320007,790.239990,769.760010,781.599976,778.811890,71300
2012-07-17,767.039978,802.400024,761.440002,769.119995,766.376404,92600
2012-07-18,774.400024,774.400024,730.880005,737.280029,734.649963,121900
2012-07-19,722.719971,726.080017,706.239990,713.280029,710.735596,116100
2012-07-20,713.760010,742.080017,713.119995,740.159973,737.519714,109900
2012-07-23,784.320007,800.960022,760.640015,768.000000,765.260437,122400
